date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:15:05	713/713	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2003%20Nov%202023%2013:15:07%20GMT	https://pixner.net/robots.txt		(from )
16:15:06	25635/25635	U-----	200	untouched ('OK')	text/html	date:Mon,%2018%20Apr%202022%2010:19:22%20GMT	https://pixner.net/paylio/paylio-v1/payments-01.html	E:/Code/Main%20Projects/investment_app/money_transfer/frontend/worldwirepay_landingpage/pixner.net/paylio/paylio-v1/payments-01.html	(from )
16:15:06	624/624	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Mar%202022%2006:26:04%20GMT	https://pixner.net/paylio/paylio-v1/assets/images/fav.png	E:/Code/Main%20Projects/investment_app/money_transfer/frontend/worldwirepay_landingpage/pixner.net/paylio/paylio-v1/assets/images/fav.png	(from https://pixner.net/paylio/paylio-v1/payments-01.html)
16:15:07	155844/155844	---M-Z	200	added ('OK')	text/css	date:Mon,%2025%20Oct%202021%2012:58:48%20GMT	https://pixner.net/paylio/paylio-v1/assets/css/bootstrap.min.css	E:/Code/Main%20Projects/investment_app/money_transfer/frontend/worldwirepay_landingpage/pixner.net/paylio/paylio-v1/assets/css/bootstrap.min.css	(from https://pixner.net/paylio/paylio-v1/payments-01.html)
16:15:08	59345/59345	---M-Z	200	added ('OK')	text/css	date:Tue,%2010%20Aug%202021%2010:23:24%20GMT	https://pixner.net/paylio/paylio-v1/assets/css/fontawesome.min.css	E:/Code/Main%20Projects/investment_app/money_transfer/frontend/worldwirepay_landingpage/pixner.net/paylio/paylio-v1/assets/css/fontawesome.min.css	(from https://pixner.net/paylio/paylio-v1/payments-01.html)
16:15:09	36098/36098	---M-Z	200	added ('OK')	text/css	date:Mon,%2018%20Oct%202021%2009:51:02%20GMT	https://pixner.net/paylio/paylio-v1/assets/css/jquery-ui.css	E:/Code/Main%20Projects/investment_app/money_transfer/frontend/worldwirepay_landingpage/pixner.net/paylio/paylio-v1/assets/css/jquery-ui.css	(from https://pixner.net/paylio/paylio-v1/payments-01.html)
16:15:09	4007/4007	---M-Z	200	added ('OK')	text/css	date:Fri,%2005%20Mar%202021%2012:29:54%20GMT	https://pixner.net/paylio/paylio-v1/assets/css/plugin/nice-select.css	E:/Code/Main%20Projects/investment_app/money_transfer/frontend/worldwirepay_landingpage/pixner.net/paylio/paylio-v1/assets/css/plugin/nice-select.css	(from https://pixner.net/paylio/paylio-v1/payments-01.html)
16:15:11	6951/6951	---M-Z	200	added ('OK')	text/css	date:Sun,%2010%20Jan%202021%2019:05:10%20GMT	https://pixner.net/paylio/paylio-v1/assets/css/plugin/magnific-popup.css	E:/Code/Main%20Projects/investment_app/money_transfer/frontend/worldwirepay_landingpage/pixner.net/paylio/paylio-v1/assets/css/plugin/magnific-popup.css	(from https://pixner.net/paylio/paylio-v1/payments-01.html)
16:15:12	1776/1776	---M-Z	200	added ('OK')	text/css	date:Sat,%2014%20Dec%202019%2014:30:30%20GMT	https://pixner.net/paylio/paylio-v1/assets/css/plugin/slick.css	E:/Code/Main%20Projects/investment_app/money_transfer/frontend/worldwirepay_landingpage/pixner.net/paylio/paylio-v1/assets/css/plugin/slick.css	(from https://pixner.net/paylio/paylio-v1/payments-01.html)
16:15:13	892/892	---M-Z	200	added ('OK')	text/css	date:Wed,%2016%20Mar%202022%2008:20:32%20GMT	https://pixner.net/paylio/paylio-v1/assets/css/arafat-font.css	E:/Code/Main%20Projects/investment_app/money_transfer/frontend/worldwirepay_landingpage/pixner.net/paylio/paylio-v1/assets/css/arafat-font.css	(from https://pixner.net/paylio/paylio-v1/payments-01.html)
