date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:12:47	16426/16426	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Jun%202022%2003:50:02%20GMT	https://pixner.net/paylio/paylio-dashboard/pay.html	E:/Code/Main%20Projects/investment_app/money_transfer/frontend/www,worldwirepay.com/pixner.net/paylio/paylio-dashboard/pay.html	(from )
11:12:48	713/713	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2003%20Nov%202023%2008:12:49%20GMT	https://pixner.net/robots.txt		(from )
11:12:49	477/477	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202022%2014:39:06%20GMT	https://pixner.net/paylio/paylio-dashboard/assets/images/fav.png	E:/Code/Main%20Projects/investment_app/money_transfer/frontend/www,worldwirepay.com/pixner.net/paylio/paylio-dashboard/assets/images/fav.png	(from https://pixner.net/paylio/paylio-dashboard/pay.html)
11:12:50	163872/163872	---M-Z	200	added ('OK')	text/css	date:Wed,%2030%20Mar%202022%2012:14:34%20GMT	https://pixner.net/paylio/paylio-dashboard/assets/css/bootstrap.min.css	E:/Code/Main%20Projects/investment_app/money_transfer/frontend/www,worldwirepay.com/pixner.net/paylio/paylio-dashboard/assets/css/bootstrap.min.css	(from https://pixner.net/paylio/paylio-dashboard/pay.html)
11:12:50	100782/100782	---M-Z	200	added ('OK')	text/css	date:Tue,%2022%20Mar%202022%2009:08:02%20GMT	https://pixner.net/paylio/paylio-dashboard/assets/css/fontawesome.min.css	E:/Code/Main%20Projects/investment_app/money_transfer/frontend/www,worldwirepay.com/pixner.net/paylio/paylio-dashboard/assets/css/fontawesome.min.css	(from https://pixner.net/paylio/paylio-dashboard/pay.html)
11:12:50	36098/36098	---M-Z	200	added ('OK')	text/css	date:Mon,%2018%20Oct%202021%2009:51:02%20GMT	https://pixner.net/paylio/paylio-dashboard/assets/css/jquery-ui.css	E:/Code/Main%20Projects/investment_app/money_transfer/frontend/www,worldwirepay.com/pixner.net/paylio/paylio-dashboard/assets/css/jquery-ui.css	(from https://pixner.net/paylio/paylio-dashboard/pay.html)
11:12:51	0/0	---M--	200	added ('OK')	text/css	date:Thu,%2031%20Mar%202022%2008:44:30%20GMT	https://pixner.net/paylio/paylio-dashboard/assets/css/plugin/apexcharts.css	E:/Code/Main%20Projects/investment_app/money_transfer/frontend/www,worldwirepay.com/pixner.net/paylio/paylio-dashboard/assets/css/plugin/apexcharts.css	(from https://pixner.net/paylio/paylio-dashboard/pay.html)
11:12:52	4007/4007	---M-Z	200	added ('OK')	text/css	date:Fri,%2005%20Mar%202021%2012:29:54%20GMT	https://pixner.net/paylio/paylio-dashboard/assets/css/plugin/nice-select.css	E:/Code/Main%20Projects/investment_app/money_transfer/frontend/www,worldwirepay.com/pixner.net/paylio/paylio-dashboard/assets/css/plugin/nice-select.css	(from https://pixner.net/paylio/paylio-dashboard/pay.html)
11:12:58	1047/1047	---M-Z	200	added ('OK')	text/css	date:Wed,%2006%20Apr%202022%2006:56:54%20GMT	https://pixner.net/paylio/paylio-dashboard/assets/css/arafat-font.css	E:/Code/Main%20Projects/investment_app/money_transfer/frontend/www,worldwirepay.com/pixner.net/paylio/paylio-dashboard/assets/css/arafat-font.css	(from https://pixner.net/paylio/paylio-dashboard/pay.html)
11:12:59	57095/57095	---M-Z	200	added ('OK')	text/css	date:Mon,%2005%20Jul%202021%2009:32:28%20GMT	https://pixner.net/paylio/paylio-dashboard/assets/css/plugin/animate.css	E:/Code/Main%20Projects/investment_app/money_transfer/frontend/www,worldwirepay.com/pixner.net/paylio/paylio-dashboard/assets/css/plugin/animate.css	(from https://pixner.net/paylio/paylio-dashboard/pay.html)
11:13:02	104568/104568	---M-Z	200	added ('OK')	text/css	date:Wed,%2015%20Jun%202022%2003:29:42%20GMT	https://pixner.net/paylio/paylio-dashboard/assets/css/style.css	E:/Code/Main%20Projects/investment_app/money_transfer/frontend/www,worldwirepay.com/pixner.net/paylio/paylio-dashboard/assets/css/style.css	(from https://pixner.net/paylio/paylio-dashboard/pay.html)
11:13:04	184/184	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202022%2004:40:04%20GMT	https://pixner.net/paylio/paylio-dashboard/assets/images/icon/menu.png	E:/Code/Main%20Projects/investment_app/money_transfer/frontend/www,worldwirepay.com/pixner.net/paylio/paylio-dashboard/assets/images/icon/menu.png	(from https://pixner.net/paylio/paylio-dashboard/pay.html)
11:13:07	538/538	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202022%2004:53:42%20GMT	https://pixner.net/paylio/paylio-dashboard/assets/images/icon/search.png	E:/Code/Main%20Projects/investment_app/money_transfer/frontend/www,worldwirepay.com/pixner.net/paylio/paylio-dashboard/assets/images/icon/search.png	(from https://pixner.net/paylio/paylio-dashboard/pay.html)
11:13:10	536/536	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202022%2010:19:32%20GMT	https://pixner.net/paylio/paylio-dashboard/assets/images/icon/lang.png	E:/Code/Main%20Projects/investment_app/money_transfer/frontend/www,worldwirepay.com/pixner.net/paylio/paylio-dashboard/assets/images/icon/lang.png	(from https://pixner.net/paylio/paylio-dashboard/pay.html)
11:13:12	451/451	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202022%2009:25:34%20GMT	https://pixner.net/paylio/paylio-dashboard/assets/images/icon/bell.png	E:/Code/Main%20Projects/investment_app/money_transfer/frontend/www,worldwirepay.com/pixner.net/paylio/paylio-dashboard/assets/images/icon/bell.png	(from https://pixner.net/paylio/paylio-dashboard/pay.html)
11:13:13	2561/2561	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202022%2008:58:38%20GMT	https://pixner.net/paylio/paylio-dashboard/assets/images/user-1.png	E:/Code/Main%20Projects/investment_app/money_transfer/frontend/www,worldwirepay.com/pixner.net/paylio/paylio-dashboard/assets/images/user-1.png	(from https://pixner.net/paylio/paylio-dashboard/pay.html)
11:13:13	2222/2222	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202022%2008:58:44%20GMT	https://pixner.net/paylio/paylio-dashboard/assets/images/user-2.png	E:/Code/Main%20Projects/investment_app/money_transfer/frontend/www,worldwirepay.com/pixner.net/paylio/paylio-dashboard/assets/images/user-2.png	(from https://pixner.net/paylio/paylio-dashboard/pay.html)
11:13:16	1564/1564	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Mar%202022%2008:58:50%20GMT	https://pixner.net/paylio/paylio-dashboard/assets/images/master-card.png	E:/Code/Main%20Projects/investment_app/money_transfer/frontend/www,worldwirepay.com/pixner.net/paylio/paylio-dashboard/assets/images/master-card.png	(from https://pixner.net/paylio/paylio-dashboard/pay.html)
